id,from_point_lat,from_point_lon,to_point_lat,to_point_lon
16818,19.174415,73.069304,19.155844,73.000337
27273,19.261644,72.979088,19.116612,72.910285
19859,19.168032,73.079981,19.17639,72.881112
27278,19.03058,73.066092,19.15545,72.853769
27280,19.228354,72.970125,19.111824,72.860754
17904,19.009398,72.835764,19.148158,73.077622
21350,19.244636,73.123527,19.155149,72.867855
14577,19.107491,72.90176,19.158597,72.999017
10872,19.213678,72.990345,19.141322,72.830952
18118,19.163948,73.075304,19.142357,72.937752
20452,,,,
6544,19.245771,72.980012,19.15545,72.853769
10695,19.148765,72.99025,19.104708,72.92561
8687,19.210144,73.079295,19.079638,72.907012
16505,19.16231,72.942624,19.002157,72.841579
18254,19.267938,72.971154,19.006248,72.83041
14968,19.167502,73.072256,19.064211,72.997895
7760,19.231044,72.863686,19.115841,72.856397
12633,12.947599,77.65987,12.980011,77.695629
18412,19.035153,72.840443,18.999176,72.828572
20198,19.169195,72.88089,19.075219,72.905268
20020,19.199397,72.965575,19.122514,72.872322
21393,19.164652,73.074489,19.19834,72.953714
21695,19.251966,73.131478,19.123966,72.923721
9055,19.236663,72.851334,19.009143,72.815728
10693,19.035577,73.022817,19.023598,72.837813
14293,19.218443,72.81462,19.077193,72.862087
11475,19.164796,72.849548,19.115841,72.856397
19717,19.036569,72.85286,,
17252,,,19.127511,73.007608
20213,19.271859,72.962936,19.17639,72.881112
6319,19.169195,72.88089,19.103528,72.887962
20639,19.211791,72.868078,19.118518,72.859017
6389,19.27353,72.862818,19.235229,72.841758
22356,19.278235,72.875917,19.13343,72.913268
21405,19.122784,72.999721,18.992748,72.831068
5152,19.211453,72.873722,,
22867,18.588361,73.784163,18.596174,73.715125
16457,19.115491,72.872695,19.016622,73.096602
17646,,,19.11186,72.911346
18951,19.174415,73.069304,,
11419,19.095938,72.887672,19.108893,72.855779
14359,19.280307,72.876356,,
10740,19.246164,72.850906,19.077131,73.021341
10846,19.061083,73.00363,18.943086,72.827176
20906,19.26233,72.968482,18.997419,72.828723
5913,19.03355,73.065299,19.214364,72.97264
26429,19.213678,72.990345,19.07937,72.85626
16059,19.214785,72.977449,19.119677,72.905081
19445,19.199134,72.861092,19.123113,72.87133
23902,18.934662,72.836778,19.163208,73.002117
16097,19.246164,72.850906,19.1548,72.856256
6660,19.220003,72.975652,19.068732,72.861862
7657,18.975094,73.052334,19.000258,72.823814
20260,28.627705,77.304837,28.357528,77.005573
19579,,,19.086486,72.88875
8911,19.182755,72.840154,19.064882,72.861358
9404,19.047322,73.069905,19.002157,72.841579
7566,19.142438,72.932767,19.118357,72.905215
14939,19.288226,72.865502,19.1261,72.8737
27301,19.168069,73.073876,19.043986,72.910251
25902,,,19.08956,72.865614
20279,12.938879,77.741205,12.931978,77.690819
10091,19.201222,72.820375,19.07213,72.865544
15117,19.119677,72.905081,19.134817,72.832819
15072,19.075389,72.997172,19.106771,72.922542
21553,19.125239,72.87313,19.016667,72.816667
27303,19.141136,72.930967,19.189649,72.835526
19913,19.168032,73.079981,19.102769,73.009001
19049,19.138319,72.810085,19.173318,72.836248
20295,19.366637,72.816098,19.115491,72.872695
12296,,,,
15339,19.287139,72.868842,19.176732,72.882753
8761,19.146503,72.945984,19.255917,72.971042
15099,19.172329,73.111954,19.183445,72.832428
19941,19.164652,73.074489,19.063061,72.998905
20330,,,,
22528,19.222774,72.96834,19.093844,72.922618
24030,19.244863,72.98046,19.217138,72.981
20043,19.077759,72.863147,19.159557,73.000106
22921,19.211453,72.873722,19.120046,72.899716
7686,19.15545,72.853769,19.178917,72.813017
16930,19.168069,73.073876,19.215008,72.972946
10074,19.047322,73.069905,19.226661,72.983837
16792,19.116307,73.007948,19.155149,72.867855
23009,19.044564,73.064383,19.14559,72.855287
6087,19.051572,72.834631,19.366637,72.816098
15973,19.111492,72.925755,19.011233,72.848552
27307,19.293624,72.871486,18.998569,72.825294
6567,19.009913,72.842686,19.136325,72.82766
20134,19.229807,72.896254,19.176732,72.882753
27308,19.151985,73.079222,19.017371,73.037991
15517,19.220113,72.974845,19.176732,72.882753
20203,19.186141,72.835283,19.159557,73.000106
10393,19.164652,73.074489,19.160857,73.001356
7693,19.035312,72.843686,,
10594,19.009422,73.019865,19.109949,72.851761
21682,19.167703,73.07434,19.979187,73.754559
15172,19.251299,72.853712,19.112398,72.912743
11939,19.287139,72.868842,19.000258,72.823814
9633,19.143591,72.824629,19.069053,72.833457
24642,19.271859,72.962936,19.204638,72.86641
20818,19.168032,73.079981,19.001412,72.840744
22318,19.031366,72.858821,19.061868,72.850705
17019,19.234777,72.840894,19.154325,72.853035
7420,19.065156,72.864797,19.186955,72.858579
22034,19.012584,73.160198,19.107884,73.013617
16504,19.110201,73.017458,19.269491,72.965199
20205,19.235229,72.841758,19.173507,72.831654
13346,19.009234,73.033149,18.9995,72.823345
14566,18.936959,72.825022,19.065156,72.864797
15181,19.168069,73.073876,18.596873,73.718648
12519,19.191883,72.832046,19.115491,72.872695
26054,19.166761,72.937383,19.154655,72.856093
12703,19.272715,72.864823,19.115841,72.856397
16044,19.273213,72.868533,19.155021,72.852933
7542,19.170282,72.869895,18.937156,72.840449
27318,19.226661,72.983837,19.000258,72.823814
14583,19.162934,72.839241,19.06062,73.013962
6784,19.295233,72.85439,19.150269,72.853025
16197,19.055736,72.851345,19.269006,72.965594
24571,19.164652,73.074489,19.109771,72.858267
17177,19.15545,72.853769,18.949675,72.824097
13928,19.143447,73.077367,19.109529,73.018021
13942,19.216442,72.834931,19.076277,72.8654
24091,19.156332,72.957986,19.068789,72.870265
24701,19.168032,73.079981,19.116307,73.007948
26082,19.12959,72.876258,19.168032,73.079981
20258,19.174845,72.972276,19.183445,72.832428
7888,19.215498,72.828739,18.997419,72.828723
19146,19.070954,73.072891,19.130131,72.893777
12672,19.253933,72.867245,19.11123,72.91835
14480,19.203313,72.842888,19.077394,72.85142
21275,19.058716,73.083167,19.003885,72.827453
15584,19.009445,73.111446,19.111153,73.01553
24106,19.296053,72.870817,19.116462,72.866807
10387,19.207951,72.98656,18.929475,72.826346
23310,,,19.065577,73.000752
18961,18.934662,72.836778,19.160857,73.001356
23312,19.281085,72.855994,19.17639,72.881112
9944,18.969266,72.815049,18.92465,72.821418
16040,19.169171,72.868392,19.1164,72.909826
26555,19.148564,73.076892,19.216536,73.086865
5417,19.15545,72.853769,19.301779,72.85026
24108,19.28153,72.857793,19.115491,72.872695
15309,19.102769,73.009001,19.287139,72.868842
26556,19.155107,73.078723,19.255917,72.971042
21175,19.116472,73.006858,19.115491,72.872695
20310,,,,
20687,19.204117,72.974786,19.11538,72.909144
9102,,,19.099685,73.005149
19603,19.409551,72.8353,19.152626,72.855648
9745,19.244148,72.864304,19.007109,72.818606
24114,19.220989,72.850653,19.068789,72.870265
18446,19.154655,72.856093,19.246164,72.850906
22340,19.285089,72.869616,19.120175,72.906554
16950,19.228037,72.859903,19.068789,72.870265
13700,19.146503,72.945984,19.15545,72.853769
24334,19.15545,72.853769,19.213798,72.981588
13699,18.966381,72.844209,19.111153,73.01553
4965,19.077064,72.998993,19.119398,72.906594
24682,18.998569,72.825294,19.046361,73.022572
13908,19.016622,73.096602,19.068789,72.870265
7392,19.313256,72.854412,19.014896,73.038963
21907,19.288485,72.871774,19.119027,72.851169
8999,19.221512,73.164463,19.115491,72.872695
14804,18.932245,72.826438,21.348861,80.20773
20344,19.119677,72.905081,18.925573,72.824222
10186,19.0328,72.896357,19.169223,72.866596
22205,19.001574,73.120208,19.003885,72.827453
7602,19.295784,72.848604,19.157935,72.993476
22006,19.192548,72.859865,18.998569,72.825294
5535,19.232695,72.786713,19.076277,72.8654
24125,19.005387,72.821672,,
4884,19.158597,72.999017,19.198117,72.94895
16291,19.060533,72.849348,19.157935,72.993476
26137,19.163208,73.002117,19.155107,73.078723
14629,19.214872,72.986077,19.060805,72.865381
22350,18.995735,72.826366,18.925503,72.823559
15422,19.167924,72.941611,,
19628,19.246164,72.850906,19.176207,72.864744
8916,,,19.115125,72.858594
14817,19.205716,73.09553,19.157935,72.993476
24689,19.064318,73.00035,18.925452,72.822111
14394,19.078758,72.826438,19.115773,73.001307
14826,19.047322,73.069905,19.15545,72.853769
15796,19.224513,72.968202,19.114784,72.890326
13230,,,19.187971,72.963173
24691,19.173216,73.071216,19.079961,72.898767
17857,19.294289,72.859896,19.15545,72.853769
6971,19.047322,73.069905,19.15545,72.853769
10447,19.162968,72.954878,19.126027,72.872871
15522,19.035577,73.022817,19.108257,72.879292
15475,18.515806,73.927164,18.578933,73.737181
17911,19.155107,73.078723,19.216536,73.086865
26574,19.2834,72.955838,19.129593,72.877686
24693,19.047322,73.069905,19.122323,72.891915
7613,,,19.160857,73.001356
15655,19.233527,72.972764,19.023426,72.837901
7042,19.15545,72.853769,19.172642,72.944595
23440,,,19.178287,72.968595
17514,19.168032,73.079981,19.163208,73.002117
7929,19.012656,73.037113,19.153837,72.962494
14246,19.213678,72.990345,19.07169,72.834127
